Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for bsd-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 16:22:20 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(373544k free)

/proc/meminfo:

CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/Users/colonelhou/Documents/company/wksp/MacOS-JAVA/src/main/java/com/java/jvm/hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:MaxNewSize=2097152 -XX:NewSize=2097152 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.139: [GC (Allocation Failure) [PSYoungGen: 1024K->506K(1536K)] 1024K->530K(9728K), 0.0012948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.096: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6985K->6996K(9728K), 0.0003043 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.096: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6996K->6996K(9728K), 0.0002641 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.096: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6964K->2547K(8192K)] 6996K->2547K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.099: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6973K->6984K(9728K), 0.0003258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.099: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6984K->6984K(9728K), 0.0002474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.100: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6952K->5496K(8192K)] 6984K->5496K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021180 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.102: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6985K->6997K(9728K), 0.0003153 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.102: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6997K->6997K(9728K), 0.0002593 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.103: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6965K->2547K(8192K)] 6997K->2547K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0019766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.105: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6973K->6985K(9728K), 0.0003279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.105: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6985K->6985K(9728K), 0.0002781 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.106: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6953K->5497K(8192K)] 6985K->5497K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021547 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.108: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6986K->6997K(9728K), 0.0002917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.108: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6997K->6997K(9728K), 0.0002651 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.109: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6965K->2548K(8192K)] 6997K->2548K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020323 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.111: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6974K->6986K(9728K), 0.0003210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.112: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6986K->6986K(9728K), 0.0002656 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.112: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6954K->5497K(8192K)] 6986K->5497K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0023898 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.115: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6986K->6998K(9728K), 0.0003046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.115: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6998K->6998K(9728K), 0.0002589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.115: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6966K->2548K(8192K)] 6998K->2548K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020123 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.118: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6975K->6986K(9728K), 0.0003389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.118: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6986K->6986K(9728K), 0.0002886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.118: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6954K->5497K(8192K)] 6986K->5497K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.121: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6987K->6998K(9728K), 0.0003111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.121: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6998K->6998K(9728K), 0.0003547 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.121: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6966K->2548K(8192K)] 6998K->2548K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0022164 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.124: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6975K->6987K(9728K), 0.0003191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.124: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6987K->6987K(9728K), 0.0002946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.125: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6955K->5497K(8192K)] 6987K->5497K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020896 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.127: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6987K->6999K(9728K), 0.0002948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.127: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6999K->6999K(9728K), 0.0002442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.128: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6967K->2548K(8192K)] 6999K->2548K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.130: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6976K->6987K(9728K), 0.0003129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.131: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6987K->6987K(9728K), 0.0002945 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.131: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6955K->5498K(8192K)] 6987K->5498K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020796 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.133: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6988K->6999K(9728K), 0.0003119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.134: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6999K->6999K(9728K), 0.0002878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.134: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6967K->2548K(8192K)] 6999K->2548K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021811 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.137: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6977K->6988K(9728K), 0.0003129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.137: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6988K->6988K(9728K), 0.0006217 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.138: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6956K->5498K(8192K)] 6988K->5498K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.140: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6988K->7000K(9728K), 0.0003013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.140: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7000K->7000K(9728K), 0.0002882 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.141: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6968K->2548K(8192K)] 7000K->2548K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021261 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.143: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6977K->6989K(9728K), 0.0003159 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.144: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6989K->6989K(9728K), 0.0002866 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.144: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6957K->5498K(8192K)] 6989K->5498K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.146: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6989K->7000K(9728K), 0.0003172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.147: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7000K->7000K(9728K), 0.0002719 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.147: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6968K->2549K(8192K)] 7000K->2549K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0019954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.149: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6978K->6989K(9728K), 0.0003268 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.150: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6989K->6989K(9728K), 0.0002657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.150: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6957K->5499K(8192K)] 6989K->5499K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020622 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.152: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6989K->7001K(9728K), 0.0003095 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.153: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7001K->7001K(9728K), 0.0002712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.153: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6969K->2549K(8192K)] 7001K->2549K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0056400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.159: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6979K->6990K(9728K), 0.0003623 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
21.160: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6990K->6990K(9728K), 0.0003794 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.160: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6958K->5499K(8192K)] 6990K->5499K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.162: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6990K->7001K(9728K), 0.0008088 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.163: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7001K->7001K(9728K), 0.0007908 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.164: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6969K->2549K(8192K)] 7001K->2549K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024632 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.167: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6979K->6991K(9728K), 0.0008355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.168: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6991K->6991K(9728K), 0.0002726 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.168: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6959K->5499K(8192K)] 6991K->5499K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020802 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.171: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6990K->7002K(9728K), 0.0008146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.171: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7002K->7002K(9728K), 0.0002541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.172: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6970K->2549K(8192K)] 7002K->2549K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024895 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.175: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6980K->6991K(9728K), 0.0008216 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.175: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6991K->6991K(9728K), 0.0007861 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.176: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6959K->5500K(8192K)] 6991K->5500K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024706 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.179: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6991K->7002K(9728K), 0.0003121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.179: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7002K->7002K(9728K), 0.0007842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.180: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6970K->2549K(8192K)] 7002K->2549K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.183: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6980K->6992K(9728K), 0.0008095 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.183: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6992K->6992K(9728K), 0.0002476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.184: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6960K->5500K(8192K)] 6992K->5500K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024914 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.186: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6991K->7002K(9728K), 0.0008174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.187: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7002K->7002K(9728K), 0.0007826 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.188: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6970K->2549K(8192K)] 7002K->2549K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.191: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6981K->6993K(9728K), 0.0008112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.192: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6993K->6993K(9728K), 0.0007822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.192: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6961K->5500K(8192K)] 6993K->5500K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024991 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.195: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6991K->7003K(9728K), 0.0008295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.196: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7003K->7003K(9728K), 0.0007915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.197: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6971K->2549K(8192K)] 7003K->2549K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020213 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.199: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6982K->6993K(9728K), 0.0008169 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.200: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6993K->6993K(9728K), 0.0002417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.200: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6961K->5501K(8192K)] 6993K->5501K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020416 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.203: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6992K->7003K(9728K), 0.0008045 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.204: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7003K->7003K(9728K), 0.0002503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.204: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6971K->2550K(8192K)] 7003K->2550K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020859 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.206: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6982K->6994K(9728K), 0.0008132 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.207: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6994K->6994K(9728K), 0.0002460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.207: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6962K->5491K(8192K)] 6994K->5491K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.210: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6983K->6994K(9728K), 0.0007959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.211: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6994K->6994K(9728K), 0.0002502 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.211: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6962K->2550K(8192K)] 6994K->2550K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020442 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.214: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6983K->6995K(9728K), 0.0008245 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.215: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6995K->6995K(9728K), 0.0007874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.215: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6963K->5501K(8192K)] 6995K->5501K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024600 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.218: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6993K->7004K(9728K), 0.0008591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.219: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7004K->7004K(9728K), 0.0007974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.220: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6972K->2550K(8192K)] 7004K->2550K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024997 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.223: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6984K->6995K(9728K), 0.0008220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.224: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6995K->6995K(9728K), 0.0002433 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.224: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6963K->5502K(8192K)] 6995K->5502K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021122 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.226: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6993K->7005K(9728K), 0.0007932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.227: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7005K->7005K(9728K), 0.0002391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.227: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6973K->2550K(8192K)] 7005K->2550K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020014 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.230: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6984K->6996K(9728K), 0.0008451 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.231: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6996K->6996K(9728K), 0.0007884 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.232: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6964K->5502K(8192K)] 6996K->5502K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024469 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.234: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6994K->7005K(9728K), 0.0008090 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.235: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7005K->7005K(9728K), 0.0002638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.235: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6973K->2550K(8192K)] 7005K->2550K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0025164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.238: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6985K->6996K(9728K), 0.0008154 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.239: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6996K->6996K(9728K), 0.0002761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.239: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6964K->5502K(8192K)] 6996K->5502K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0025060 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.242: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6994K->7006K(9728K), 0.0007960 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
21.243: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7006K->7006K(9728K), 0.0002522 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.243: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6974K->2550K(8192K)] 7006K->2550K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0025153 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.246: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6986K->6997K(9728K), 0.0008361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.247: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6997K->6997K(9728K), 0.0002559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.247: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6965K->5503K(8192K)] 6997K->5503K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024464 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.250: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6995K->7006K(9728K), 0.0008849 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.251: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7006K->7006K(9728K), 0.0011066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.252: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 6974K->2551K(8192K)] 7006K->2551K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0030647 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.257: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 6986K->6998K(9728K), 0.0004405 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.258: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 6998K->6998K(9728K), 0.0004759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
